Values,MAE,RMSE,R_squared
10.0,0.16678299422032403,0.2907328347496963,0.9910737228350546
20.0,0.15227287386258487,0.23428544433444765,0.9791411349660138
22.928932188134524,0.14565235080062988,0.28557751637539364,0.9689861723172962
25.0,0.13922208486005164,0.17186108967694394,0.9814503623961766
29.393398282201787,0.17074882868147384,0.33477567728744695,0.9752757260171999
30.0,0.13838165475698727,0.16358403955402595,0.9935304495005006
35.0,0.3228120021011332,0.9200790470141863,0.8407083941636745
37.071067811865476,0.2463741356038472,0.7351904416030836,0.8756864833269279
40.0,0.14373851403769464,0.18369049209191066,0.977918650046105
42.32233047033631,0.13809932419633317,0.16885676049133744,0.9951487118001834
50.60660171779821,0.14054352099126366,0.1618300368175008,0.9817044597101929
60.0,0.13947987671203355,0.16638026115466636,0.9952388024453545
77.67766952966369,0.15869388824287906,0.27493966058079006,0.9577935023349172
